location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00+,2022-05-07,2022-04-09,-28 day ahead inc hosp,quantile,0.025,8948,COVID-19
DE,00+,2022-05-07,2022-04-09,-28 day ahead inc hosp,quantile,0.1,8971,COVID-19
DE,00+,2022-05-07,2022-04-09,-28 day ahead inc hosp,quantile,0.25,8993,COVID-19
DE,00+,2022-05-07,2022-04-09,-28 day ahead inc hosp,quantile,0.5,9021,COVID-19
DE,00+,2022-05-07,2022-04-09,-28 day ahead inc hosp,quantile,0.75,9052,COVID-19
DE,00+,2022-05-07,2022-04-09,-28 day ahead inc hosp,quantile,0.9,9085,COVID-19
DE,00+,2022-05-07,2022-04-09,-28 day ahead inc hosp,quantile,0.975,9129,COVID-19
DE,00+,2022-05-07,2022-04-09,-28 day ahead inc hosp,mean,NA,9025.09275,COVID-19
DE,00+,2022-05-07,2022-04-10,-27 day ahead inc hosp,quantile,0.025,8885,COVID-19
DE,00+,2022-05-07,2022-04-10,-27 day ahead inc hosp,quantile,0.1,8908,COVID-19
DE,00+,2022-05-07,2022-04-10,-27 day ahead inc hosp,quantile,0.25,8930,COVID-19
DE,00+,2022-05-07,2022-04-10,-27 day ahead inc hosp,quantile,0.5,8958,COVID-19
DE,00+,2022-05-07,2022-04-10,-27 day ahead inc hosp,quantile,0.75,8988,COVID-19
DE,00+,2022-05-07,2022-04-10,-27 day ahead inc hosp,quantile,0.9,9021,COVID-19
DE,00+,2022-05-07,2022-04-10,-27 day ahead inc hosp,quantile,0.975,9067,COVID-19
DE,00+,2022-05-07,2022-04-10,-27 day ahead inc hosp,mean,NA,8961.873,COVID-19
DE,00+,2022-05-07,2022-04-11,-26 day ahead inc hosp,quantile,0.025,8905,COVID-19
DE,00+,2022-05-07,2022-04-11,-26 day ahead inc hosp,quantile,0.1,8927.9,COVID-19
DE,00+,2022-05-07,2022-04-11,-26 day ahead inc hosp,quantile,0.25,8950,COVID-19
DE,00+,2022-05-07,2022-04-11,-26 day ahead inc hosp,quantile,0.5,8978,COVID-19
